id,timestamp,latency_ms
2,1743557481.8927932,1.931
3,1743557481.995688,1.652
4,1743557482.1029549,1.393
5,1743557482.2038426,1.41
6,1743557482.3057761,1.005
7,1743557482.4066176,1.135
8,1743557482.5075233,0.965
9,1743557482.6090913,1.086
10,1743557482.710973,1.667
11,1743557482.811579,1.196
12,1743557482.9144268,1.268
13,1743557483.0160935,1.566
14,1743557483.1191137,1.292
15,1743557483.225832,1.209
16,1743557483.3329105,1.536
17,1743557483.4362576,1.158
18,1743557483.5403047,1.407
19,1743557483.6421475,1.294
20,1743557483.7457607,1.245
21,1743557483.8496478,1.334
22,1743557483.9532826,1.093
23,1743557484.0569122,1.024
24,1743557484.1608794,1.194
25,1743557484.265205,1.302
26,1743557484.369452,1.662
27,1743557484.4724774,2.051
28,1743557484.5773416,2.197
29,1743557484.6780303,1.338
30,1743557484.781679,1.377
31,1743557484.885684,1.133
32,1743557484.217528,1.898
33,1743557484.321207,1.529
34,1743557484.4251137,1.292
35,1743557483.4532573,1.215
36,1743557483.557285,1.644
37,1743557483.6618736,2.794
38,1743557483.76519,1.949
39,1743557483.8657854,1.263
40,1743557483.9694219,1.869
41,1743557484.0725608,1.173
42,1743557484.1763244,1.186
43,1743557484.2782538,1.179
44,1743557484.3822513,1.081
45,1743557484.4859612,1.125
46,1743557484.5902326,1.598
47,1743557484.6936724,1.323
48,1743557484.7973864,1.19
49,1743557484.9004393,1.26
50,1743557485.0030634,1.149
51,1743557485.1043036,1.332
52,1743557485.2081494,1.171
53,1743557485.3125217,1.353
54,1743557485.4161165,2.395
55,1743557485.5198772,1.729
56,1743557485.6225727,1.14
57,1743557485.7259538,1.032
58,1743557485.8311298,1.981
59,1743557485.9349406,1.739
60,1743557486.0373182,1.699
61,1743557486.141785,1.707
62,1743557486.2459738,1.854
63,1743557486.350919,2.627
64,1743557486.4554577,1.628
65,1743557486.5578406,1.5
66,1743557486.6626842,1.91
67,1743557486.7665224,1.25
68,1743557486.8704405,1.584
69,1743557486.9746056,1.877
70,1743557487.0770884,1.76
71,1743557487.181405,1.151
72,1743557487.2857995,1.818
73,1743557487.3900025,1.573
74,1743557487.4937975,1.592
75,1743557487.5958076,1.896
76,1743557487.6997712,1.554
77,1743557487.8036332,1.569
78,1743557487.9076798,1.532
79,1743557488.0103874,1.328
80,1743557488.1130989,1.846
81,1743557488.2177668,2.47
82,1743557488.3214195,1.798
83,1743557488.4245405,1.115
84,1743557488.52835,1.178
85,1743557488.6333673,1.128
86,1743557488.7372785,1.318
87,1743557488.8393345,1.105
88,1743557488.9429116,1.107
89,1743557489.046805,1.269
90,1743557489.1489072,1.614
91,1743557489.2534063,1.419
92,1743557489.357423,1.665
93,1743557489.4613912,1.484
94,1743557489.5649228,1.191
95,1743557489.6691778,1.536
96,1743557489.7737176,1.822
97,1743557489.8784702,2.427
98,1743557489.98223,1.731
99,1743557490.0868611,2.003
100,1743557490.1885772,1.786
101,1743557490.2925901,1.615
102,1743557490.3968053,1.908
103,1743557490.5011144,1.74
104,1743557490.605393,1.98
105,1743557490.709606,1.855
106,1743557490.813498,1.376
107,1743557490.9184191,2.254
108,1743557491.0224373,1.586
109,1743557491.1269443,1.935
110,1743557491.2287982,1.735
111,1743557491.3330941,1.474
112,1743557491.4371748,1.308
113,1743557491.5428283,1.831
114,1743557491.6475165,1.688
115,1743557491.7536135,2.119
116,1743557491.8576274,1.297
117,1743557491.9625828,1.321
118,1743557492.0672588,1.42
119,1743557492.1728325,2.036
120,1743557492.2750833,1.446
121,1743557492.3802736,1.766
122,1743557492.4850824,1.912
123,1743557492.5891976,1.093
124,1743557492.6934242,1.212
125,1743557492.7981217,1.375
126,1743557492.9034977,1.75
127,1743557493.0079737,1.22
128,1743557493.113444,1.701
129,1743557493.2174857,1.116
130,1743557493.3204234,1.268
131,1743557493.4250515,1.583
132,1743557493.5303392,1.894
133,1743557493.6354353,2.367
134,1743557493.7399235,1.23
135,1743557493.8452568,2.006
136,1743557493.9461205,1.467
137,1743557494.0510726,2.024
138,1743557494.1554496,1.654
139,1743557494.261193,2.177
140,1743557494.3643355,1.955
141,1743557494.4684815,1.15
142,1743557494.5734339,1.245
143,1743557494.67883,1.979
144,1743557494.7842455,1.854
145,1743557494.8886852,1.296
146,1743557494.9924054,1.383
147,1743557495.097127,1.309
148,1743557495.202114,1.14
149,1743557495.307103,1.421
150,1743557495.410547,1.247
151,1743557495.5148187,1.229
152,1743557495.6192756,1.132
153,1743557495.7232199,1.304
154,1743557495.8277032,1.266
155,1743557495.9328341,1.341
156,1743557496.0361114,1.229
157,1743557496.1418672,1.951
158,1743557496.2458851,1.299
159,1743557496.351976,2.146
160,1743557496.4553556,1.45
161,1743557496.5604413,1.674
162,1743557496.6647086,1.3
163,1743557496.7692451,1.277
164,1743557496.8736796,1.423
165,1743557496.9784353,1.533
166,1743557497.0826542,1.316
167,1743557497.1864002,1.22
168,1743557497.2913373,1.4
169,1743557497.3956275,1.178
170,1743557497.5000265,1.399
171,1743557497.6043594,1.45
172,1743557497.7056851,1.616
173,1743557497.8078105,1.446
174,1743557497.9135168,1.852
175,1743557498.0187087,2.013
176,1743557498.1228268,1.326
177,1743557498.2282066,2.108
178,1743557498.3335056,1.9
179,1743557498.4388316,2.226
180,1743557498.543706,2.031
181,1743557498.6494672,2.684
182,1743557498.7535465,1.401
183,1743557498.8585389,1.413
184,1743557498.9643843,2.071
185,1743557499.0664294,1.987
186,1743557499.1710443,1.9
187,1743557499.2766452,2.062
188,1743557499.3816636,2.101
189,1743557499.486739,2.239
190,1743557499.5914853,1.31
191,1743557499.6960223,1.443
192,1743557499.8006883,1.111
193,1743557499.9054115,1.369
194,1743557500.0103652,1.458
195,1743557500.1151855,1.99
196,1743557500.2193515,1.632
197,1743557500.3236988,1.342
198,1743557500.4295743,2.303
199,1743557500.5348487,1.844
200,1743557500.6410542,2.68
201,1743557500.7446914,1.576
202,1743557500.8501108,2.231
203,1743557500.954324,1.866
204,1743557501.0562966,1.932
205,1743557501.157905,1.835
206,1743557501.2621546,1.49
207,1743557501.3630605,1.434
208,1743557501.463709,1.302
209,1743557501.5684156,1.38
210,1743557501.6736326,1.685
211,1743557501.7794137,2.305
212,1743557501.8834233,1.354
213,1743557501.9883642,1.422
214,1743557502.0931256,1.13
215,1743557502.1955197,1.095
216,1743557502.299969,1.464
217,1743557502.4054294,2.244
218,1743557502.5096695,1.153
219,1743557502.6153998,2.37
220,1743557502.720917,2.334
221,1743557502.8260033,2.161
222,1743557502.9310308,2.048
223,1743557503.034989,1.465
224,1743557503.1396306,1.432
225,1743557503.244484,1.682
226,1743557503.3496282,2.192
227,1743557503.4546642,1.882
228,1743557503.5600033,2.097
229,1743557503.6644046,1.754
230,1743557503.76647,1.812
231,1743557503.8710208,1.472
232,1743557503.9750004,1.26
233,1743557504.0805912,1.732
234,1743557504.185514,1.844
235,1743557504.288456,1.16
236,1743557504.3928425,1.158
237,1743557504.4981096,1.946
238,1743557504.5990314,1.719
239,1743557504.7006538,1.528
240,1743557504.8029873,1.893
241,1743557504.90783,1.618
242,1743557505.0130093,1.665
243,1743557505.1172428,1.389
244,1743557505.221666,2.329
245,1743557505.325506,1.487
246,1743557505.4298756,1.408
247,1743557505.5347593,1.795
248,1743557505.639179,1.439
249,1743557505.7434955,1.351
250,1743557505.8484857,1.408
251,1743557505.949821,1.231
252,1743557506.050503,1.023
253,1743557506.151886,1.526
254,1743557506.2563894,1.296
255,1743557506.3611033,1.204
256,1743557506.465616,1.276
257,1743557506.5666223,1.037
258,1743557506.6718352,1.482
259,1743557506.7761521,1.233
260,1743557506.8814573,1.373
261,1743557506.9857264,1.25
262,1743557507.0889354,1.837
263,1743557507.1923084,1.478
264,1743557507.2964265,1.23
265,1743557507.401165,1.145
266,1743557507.5056453,1.244
267,1743557507.6107192,1.421
268,1743557507.714865,1.16
269,1743557507.8169773,1.249
270,1743557507.9218867,1.175
271,1743557508.0226114,1.033
272,1743557508.126268,1.085
273,1743557508.2306955,1.264
274,1743557508.3316174,1.149
275,1743557508.436807,2.23
276,1743557508.5408053,1.794
277,1743557508.645115,1.881
278,1743557508.7496257,2.123
279,1743557508.8538232,1.509
280,1743557508.957793,1.376
281,1743557509.0619817,1.165
282,1743557509.1633415,1.052
283,1743557509.2679775,1.627
284,1743557509.373568,2.361
285,1743557509.4751089,1.883
286,1743557509.5768774,1.685
287,1743557509.680757,1.213
288,1743557509.7845504,1.166
289,1743557509.8891027,1.357
290,1743557509.9908254,1.235
291,1743557510.0917473,1.369
292,1743557510.1944108,1.166
293,1743557510.2986112,1.316
294,1743557510.3999236,1.152
295,1743557510.5038013,1.16
